Part ID,Failure_Year
RS203302,2007
RS89972,2007
RS125142,2004
RS50205,2003
RS167936,2007
RS8893,2003
RS193584,2009
RS58333,2009
RS10663,2005
RS15615,2005
RS191145,2007
RS122055,2011
RS22836,2009
RS83031,2009
RS186530,2012
RS207920,2000
RS177436,2010
RS154845,2006
RS96008,2007
RS170670,2003
RS130751,2008
RS5471,2005
RS14881,2006
RS11030,2004
RS188524,2005
RS99245,2009
RS37656,2005
RS66574,2002
RS125196,2006
RS125196,2002
RS82133,2005
RS125976,2003
RS168904,2006
RS168880,2003
RS43487,2007
RS211706,2006
RS131908,2003
RS5760,2005
RS57464,2008
RS123038,2007
RS49454,2011
RS99337,2004
RS69721,2009
RS69361,2004
RS169675,2010
RS22520,2003
RS202475,2007
RS211917,2011
RS166201,2005
RS161890,2010
RS178856,2008
RS126442,2005
RS118726,2012
RS157854,2008
RS40677,2007
RS176642,2008
RS19672,2010
RS19672,2008
RS202568,2009
RS20683,2005
RS95994,2004
RS46722,2011
RS8597,2005
RS109688,2002
RS50282,2010
RS123887,2007
RS13013,2009
RS47727,2005
RS65069,2006
RS188396,2006
RS184195,2006
RS20178,2008
RS20178,2004
RS154976,2009
RS177951,2001
RS221847,2006
RS74130,2006
RS193805,2005
RS125796,2007
RS162058,2010
RS91142,2004
RS195148,2005
RS93945,2003
RS168823,2003
RS153977,2012
RS180039,2009
RS150435,2003
RS208270,2008
RS185344,2009
RS139177,2009
RS56752,2001
RS94891,2010
RS204422,2008
RS67770,2002
RS24227,2000
RS8916,2003
RS98835,2010
RS197764,2005
RS197018,2006
RS205181,2001
RS30823,2001
RS169731,2002
RS17819,2007
RS114587,2006
RS103480,2006
RS33469,2003
RS46864,2004
RS92745,2007
RS113690,2006
RS46305,2009
RS235084,2005
RS194438,2005
RS10546,2008
RS36883,2011
RS65979,2006
RS62405,2009
RS206642,2009
RS25617,2010
RS25754,2003
RS94518,2007
RS22781,2008
RS115920,2007
RS23070,2007
RS188686,2005
RS213128,2011
RS213240,2010
RS27307,2007
RS24775,2005
RS158323,2005
RS204413,2004
RS232208,2008
RS27880,2003
RS172550,2005
RS178432,2000
RS189572,2001
RS5706,2009
RS208972,2010
RS246030,2008
TS60815,2002
RS5499,2004
RS106114,2004
RS43857,2002
RS58234,2002
RS211310,2000
RS218946,2002
RS43777,2001
RS194598,2004
RS193157,2004
RS208500,2004
RS109673,2004
RS54498,2004
RS204092,2001
RS40039,2003
RS10111,2004
RS18039,2003
RS29595,2004
RS172632,2003
RS198811,2003
RS175928,2004
RS185557,2004
RS95350,2005
RS94653,2003
RS29642,2005
RS242944,2012
RS38791,2007
RS57413,2005
RS125634,2001
RS198352,2006
RS152579,2011
RS53452,2005
RS141941,2002
RS76918,2008
RS59619,2006
RS236441,2007
RS154717,2003
RS113165,2004
RS176949,2011
RS140639,2004
RS165931,2004
RS205067,2002
RS123726,2005
RS33359,2003
RS169740,2005
RS7374,2002
RS136243,2011
RS182641,2002
RS111636,2007
RS193942,2005
RS106114,2007
RS236671,2008
RS44922,2006
RS49450,2006
RS74461,2009
RS116396,2010
RS32417,2003
RS166381,2002
RS51555,2006
RS160259,2006
RS35989,2008
RS17283,2005
RS13310,2007
RS13365,2012
RS13368,2004
RS189204,2001
RS32174,2003
RS54709,2003
RS28939,2007
RS19043,2010
RS4696,2005
RS163220,2004
RS203239,2005
RS190967,2003
RS119796,2007
RS207942,2007
RS141282,2006
RS141282,2006
RS45244,2003
RS180266,2004
RS177904,2006
RS177903,2003
RS139372,2010
RS144212,2005
RS8927,2007
RS63856,2002
RS130869,2006
RS18753,2004
RS161862,2004
RS150438,2003
RS211263,2006
RS209501,2004
RS205038,2009
RS139144,2008
RS200201,2004
RS94955,2006
RS46464,2003
RS172817,2004
RS30405,2009
RS159549,2002
RS159558,2009
RS76791,2008
RS168762,2009
TS10552,2007
RS239079,2006
RS185567,2003
RS31850,2008
RS12465,2003
RS20485,2005
RS76294,2003
RS51063,2001
RS50831,2005
RS15541,2006
RS256309,2009
RS135113,2009
RS56194,2001
RS183481,2005
RS190224,2008
RS73727,2005
TS57587,2004
RS222044,2001
RS28683,2005
RS166213,2008
RS40390,2003
RS199025,2010
RS202752,2005
RS60732,2003
RS206290,2000
RS37568,2008
RS46875,2005
RS160744,2003
RS169345,2008
RS176474,2010
RS200343,2011
RS43777,2006
RS22932,2005
RS10293,2009
RS9598,2003
RS72848,2011
RS90009,2007
RS167086,2007
RS11937,2004
RS18130,2011
RS159423,2002
RS129527,2004
RS188317,2007
RS205479,2004
RS154392,2003
RS178065,2005
RS8943,2002
RS162131,2008
RS206604,2006
RS125936,2004
RS147787,2005
